Art,2067
Parágrafo,389
Se,317
I,212
II,208
III,162
IV,110
Lei,109
V,69
No,69
Salvo,58
Incluído,51
Código,48
Seção II,46
Seção I,38
Seção III,37
Em,37
Nos,37
Vigência,32
VI,32
CAPÍTULO II,31
Disposições Gerais,30
CAPÍTULO I,30
Redação,27
Ministério Público,26
CAPÍTULO III,24
Seção IV,22
Considera,22
Registro Público de Empresas Mercantis,21
VII,20
Revogado,19
CAPÍTULO IV,19
Seção I Disposições,18
Gerais,17
Havendo,17
União,16
Seção V,15
Capítulo,14
Registro Civil,14
GERAIS,14
País,14
VIII,13
CAPÍTULO V,13
Nas,13
Imóveis,12
Brasil,12
Aplica,12
Cartório de Registro,12
Extingue,11
CAPÍTULO VI,11
CAPÍTULO I DISPOSIÇÕES,11
Compete,11
Poderá,10
Distrito Federal,10
Seção VI,10
Poder Executivo,10
Município,9
Seção III Da,8
Constitui,8
CAPÍTULO VII,8
Estado,8
Somente,8
TÍTULO I,8
Aplicam,7
Seção VII,7
TÍTULO II,7
Seção,7
CAPÍTULO II DA,7
Registro de Imóveis,7
Cessa,6
Tutela,6
Presume,6
Ninguém,6
Presumem,6
TÍTULO III,6
CAPÍTULO VIII,6
Fica,6
Documentos,6
CAPÍTULO IX,6
IX,6
Prescrição,6
TÍTULO IV,6
Subseção II,5
Ressalvado,5
Código Civil,5
Da,5
Hipoteca,5
Consideram,5
Estados,5
Da Aquisição,5
Seção II Da,5
Igual,5
CAPÍTULO IV DA,5
Mas,5
Obrigações,5
Venda,4
Administração,4
Sociedade em Relação,4
Da Administração do Condomínio,4
VETADO,4
Ocorrendo,4
L,4
CAPÍTULO XI,4
Verificada,4
Fiança,4
Subseção I,4
CAPÍTULO X,4
Cabe,4
Dissolvida,4
Seção VIII,4
Diário,4
Subsiste,4
Sócios,4
Das Obrigações de Dar Coisa,4
Caso,4
Pagando,4
Subseção IV,3
Prometendo,3
Constituída,3
Curatela,3
Seção III Do,3
Este,3
Posse,3
Ao Poder Executivo,3
Adolescente,3
Da Resolução,3
Sobrevindo,3
CAPÍTULO ÚNICO,3
Sujeita,3
CAPÍTULO I DO,3
Responderá,3
Da Extinção,3
Seção V Da,3
Da Dissolução,3
Servidões,3
Seção IV Da,3
Criança,3
Resolução,3
Ressalvada,3
Pessoas Jurídicas,3
Depósito Público,3
Decorrido,3
X,3
CAPÍTULO III DA,3
Tratando,3
Seção IX,3
Estatuto,3
Subseção III,3
Preliminares,3
CAPÍTULO ÚNICO DISPOSIÇÕES,3
Tem,3
Achando,3
Extinção,3
Vide Lei,3
Propriedade,3
Seção VI Da,3
SUBTÍTULO II,3
SUBTÍTULO I,3
Decai,3
Responde,3
Seção II Do,3
Subsistirá,3
Do Exercício,3
Tutores,3
TÍTULO V,3
Seção I Da,3
Seção I Do,3
Domínio,2
Contratos,2
Seção II Dos,2
Concorrendo,2
Extinção do Poder,2
Forças Armadas,2
Redução do Capital,2
Seção II Das,2
PENHOR,2
Dos Direitos do Credor Pignoratício,2
Familiar,2
CAPÍTULO III DOS,2
Seção V Das,2
Condôminos,2
Das Causas,2
Da Curatela do Nascituro,2
Registro,2
Do Registro,2
Transfere,2
LIVRO I,2
Suspensa,2
Da Caracterização,2
Do Pagamento,2
Nulo,2
Suspendem,2
BENS,2
Incerta,2
Consumíveis,2
Do Estado de Perigo,2
E R A,2
Exercício,2
Do Transporte de Coisas,2
Dívidas,2
Mercantil,2
Do Contrato com Pessoa,2
JURÍDICO,2
P A R T E G,2
Morrendo,2
Extinta,2
Subseção III Da,2
Do Penhor de Direitos,2
Do Penhor,2
Depende,2
Estende,2
Incorre,2
Balanços,2
Das Relações com Terceiros,2
Do Usufruto,2
S P E C I A,2
Deveres,2
Disposições Preliminares,2
Constituem,2
Testamento Aeronáutico,2
Da Passagem de Cabos,2
Admite,2
Recíproca,2
Ignorância,2
Das Obrigações do Mandante,2
Excetuam,2
Sua Prova,2
Território,2
Equipara,2
Ressalvados,2
Dos Efeitos do Legado,2
Excluem,2
Independentemente,2
Enfermo,2
DISPOSIÇÕES GERAIS,2
Bens do Ausente,2
Dos Bens do Tutelado,2
Das Obrigações do Credor Pignoratício,2
CAPACIDADE,2
Deve Pagar,2
CAPÍTULO X DA,2
Da Promessa de Fato,2
Aceitas,2
CAPÍTULO I DA,2
ÍNDICE,2
TÍTULO VIII,2
Direitos,2
CAPÍTULO VIII DA,2
Cartório de Títulos,2
Do Achado do Tesouro,2
Compra,2
Do Inventário,2
Da Exceção de Contrato,2
Cumpre,2
Do Objeto do Pagamento,2
TÍTULO VII,2
Filhos,2
CAPÍTULO XIII,2
Institui,2
Findo,2
Balancetes Diários,2
Da Hipoteca de Vias Férreas,2
Bens,2
Certa,2
Da Administração,2
Do Transporte de Pessoas,2
Auxiliares,2
Preferência,2
Portador de Deficiência,2
Física,2
Dos Direitos,2
Coletivos,2
Dos Incapazes de Exercer,2
Juntas Comerciais,2
Tendo,2
Incumbem,2
Vide Medida Provisória,2
Da Extinção do Condomínio,2
Municípios,2
Sócio,2
CAPÍTULO XIV DO,2
Adquire,2
DECADÊNCIA,2
Dependem,2
Subseção V,2
CURATELA,2
Estando,2
Registro de Títulos,2
P A R T E E,2
Do Direito,2
Realizada,2
Da Tutela,2
Sociedade,2
LIVRO III,2
CGSIM,2
TÍTULO IX,2
Do Tempo do Pagamento,2
Contento,2
Da Prescrição,2
Da Prestação de Contas,2
CAPÍTULO XIV,2
Da Perda,2
Da Venda com Reserva,2
Encerrada,2
OBRIGAÇÕES,2
CAPÍTULO XII,2
Livro,2
Declarar,2
LIVRO II,2
Tubulações,2
Contam,2
Dos Efeitos,2
Ressalvam,2
Regula,2
Do,2
Acessão,2
Interrompem,2
CASAMENTO,2
Registro do Título,2
Prevalece,2
Cumprido,2
Seção I Dos,2
Das Obrigações do Mandatário,2
Falecendo,2
TÍTULO VI,2
Far,2
Perde,2
Sócios Minoritários,2
Ficam,2
Doação,2
Do Seguro de Pessoa,2
República,2
Da Constituição do Penhor,2
Plantações,2
Da Usucapião,2
Causas,2
Comissão,2
Do Penhor de Veículos,2
Parte Especial,2
Prova,2
Do Lugar do Pagamento,2
Caducará,2
Adjunção,2
Do Direito de Construir,2
Da Confusão,2
Incumbe,2
Territórios,2
Do Exercício do Poder Familiar,2
PARTILHA,2
Usucapião,2
Dissolução,2
Subseção II Da,2
Dissolve,2
Aquisição,2
Onerosidade Excessiva,2
Caduca,2
Da Extinção do Mandato,2
Da Estipulação em Favor,2
Impedem,2
Legados,2
Haverá,2
Pagamento,2
TÍTULO X,2
Dos Limites entre Prédios,2
Direito de Tapagem,2
Título,2
Do Seguro de Dano,2
Lei Complementar,2
Estipulado,2
Seção VII Da,2
Títulos de Crédito,2
Partilha,2
Da Extinção do Penhor,2
Do Mandato Judicial,1
POR AÇÕES,1
DAS PESSOAS,1
Da Solidariedade Passiva,1
Dos Herdeiros Necessários,1
CAPÍTULO V DO PODER FAMILIAR,1
Da Transação,1
Da Propriedade,1
Seção VI Da Fraude Contra Credores,1
CAPÍTULO IX DAS,1
Da Garantia,1
Do Contrato Estimatório,1
SUBTÍTULO I DO,1
CAPÍTULO III DAS PERDAS E DANOS,1
Da Propriedade Resolúvel,1
CAPÍTULO VI DO REGIME DE SEPARAÇÃO,1
Seção III Da Sucessão Definitiva,1
Impugnada,1
Da Invalidade do Negócio Jurídico,1
Do Condomínio Voluntário,1
Excepcionalmente,1
Entram,1
Da Propriedade em Geral,1
CAPÍTULO II DO PAGAMENTO EM CONSIGNAÇÃO,1
Comodato,1
Do Regime de Bens,1
DO DIREITO DAS,1
Menores,1
Aprovado,1
Instalada,1
Da Ordem,1
Curadoria,1
CONFUSÃO,1
Produz,1
Dos Impedimentos,1
Da Sucessão Legítima,1
Da Troca,1
Falecido,1
Do Depósito,1
CAPÍTULO IV DAS CAUSAS SUSPENSIVAS,1
CAPÍTULO I DA OBRIGAÇÃO DE INDENIZAR,1
Muda,1
Títulos,1
CAPÍTULO I DA ORDEM DA VOCAÇÃO,1
ALIMENTOS,1
DA FIANÇA,1
Sociedades,1
Assembléias,1
Caducidade,1
Dos Prepostos,1
Efetuar,1
Dos Interditos,1
SONEGADOS,1
Dos Deveres do Usufrutuário,1
Transitórias,1
Vencida,1
Da Ocupação,1
TÍTULO VIII DA,1
Correm,1
CAPÍTULO IV DA PERDA DA PROPRIEDADE,1
DO TESTAMENTO EM,1
Conservam,1
Da Avulsão,1
Da Adoção,1
CAPÍTULO I DA CESSÃO DE CRÉDITO,1
UNIVERSAL,1
CAPÍTULO IV DA EXTINÇÃO DO USUFRUTO,1
CAPÍTULO IX DO,1
Constituído,1
Começa,1
Casa Civil,1
POSSE,1
Efeitos,1
Quotas,1
Seção V Do Penhor Rural,1
E DO VÍNCULO,1
Das Águas,1
Pertence,1
Da Proteção,1
Das Provas do Casamento,1
Pessoa,1
Fazenda Nacional,1
HEREDITÁRIOS,1
Dos Institutos Complementares,1
CAPÍTULO XII DA AGÊNCIA E DISTRIBUIÇÃO,1
CAPÍTULO II DO PACTO ANTENUPCIAL,1
Pagar,1
SI MESMOS,1
Dos Bens Fungíveis,1
TÍTULO I DAS PESSOAS NATURAIS,1
Seção IV Do Testamento Particular,1
Dissolvido,1
Poderão,1
Poder Público,1
Ocorre,1
TÍTULO I DA SUCESSÃO EM GERAL,1
Do Gerente,1
Da Condição,1
Anulado,1
Respeitada,1
CAPÍTULO II DAS,1
CAPÍTULO II DA SOCIEDADE EM CONTA,1
COMPROMISSO,1
Do Direito Pessoal,1
Procede,1
Seção II Do Depósito Necessário,1
Aeronáutica,1
Invalidam,1
Seção I Do Contrato Social,1
CAPÍTULO V DOS DIREITOS DE VIZINHANÇA,1
CAPÍTULO VI DA,1
TÍTULO II DOS DIREITOS REAIS,1
Portador,1
Subseção III Do Penhor Pecuário,1
Interditos,1
COMPRADOR,1
Do Contabilista,1
Da Eficácia do Casamento,1
PESSOAS,1
Seção VIII Da,1
CAPÍTULO V DA,1
TÍTULO II DA,1
Simplificação do Registro,1
Da Comissão,1
Nula,1
CAPÍTULO III DO TÍTULO À ORDEM,1
Da Preempção,1
Seção II Da Sociedade Nacional,1
Da Sociedade Anônima,1
Parte Primeira do Código Comercial,1
COMPENSAÇÃO,1
Da Cláusula Resolutiva,1
CAPÍTULO II DO TÍTULO AO PORTADOR,1
Provado,1
DAS MODALIDADES DAS,1
CAPÍTULO I DAS OBRIGAÇÕES DE DAR,1
Do Penhor Industrial,1
DE BENS,1
Avaliar,1
Dos Atos Ilícitos,1
Da Transformação,1
CAPÍTULO XVIII,1
Perfaz,1
CAPÍTULO III DO CONTRATO ESTIMATÓRIO,1
CAPÍTULO IX DA PROPRIEDADE FIDUCIÁRIA,1
Configura,1
Divergindo,1
Dos Tutores,1
Do Condomínio Geral,1
Do Direito de Família,1
Seção II Das Árvores Limítrofes,1
TÍTULO III DOS ATOS ILÍCITOS,1
Seção III Da Solidariedade Passiva,1
CAPÍTULO II DA ASSUNÇÃO DE DÍVIDA,1
Do Enriquecimento Sem,1
CAPÍTULO VII DAS PROVAS DO CASAMENTO,1
Diferentes Classes de Bens,1
Aceita,1
Do Pagamento em Consignação,1
Coação,1
Valerá,1
Subseção I Da,1
Opera,1
CAPÍTULO I DA SOCIEDADE SIMPLES,1
Preempção,1
SOCIEDADE,1
Negócios,1
Resolvida,1
EMPRÉSTIMO,1
Seção VI Do Penhor Industrial,1
Paga,1
Inexistindo,1
Da Propriedade Fiduciária,1
CAPÍTULO I DA PERSONALIDADE E DA,1
CAPÍTULO II DA HERANÇA E DE,1
CAPÍTULO VI DA GARANTIA DOS QUINHÕES,1
SUBSTITUIÇÕES,1
Anticrese,1
Do Regime de Participação Final,1
Da Prova,1
Da Aceitação,1
Da Assunção de Dívida,1
Requerido,1
Cancelado,1
Importa,1
ESTABELECIMENTO,1
Das Árvores Limítrofes,1
Seção V Dos Bens Singulares,1
Da Constituição de Renda,1
SOCIEDADES,1
Das Obrigações Alternativas,1
CAPÍTULO III DA VOCAÇÃO HEREDITÁRIA,1
Esgotado,1
Seção IV Do Conselho Fiscal,1
CAPÍTULO XVI,1
Causa,1
DAS PESSOAS NATURAIS,1
IMÓVEL,1
Dos Codicilos,1
Da Descoberta,1
Código Civil Brasileiro,1
EIRELI,1
TÍTULO IX DA RESPONSABILIDADE CIVIL,1
Desaparecendo,1
CONTRATO,1
Satisfeitas,1
O CASAMENTO,1
Do Inadimplemento,1
DA AUSÊNCIA,1
Privilégios Creditórios,1
Termo,1
Cópia,1
Fazenda do Estado,1
Dos Direitos Reais,1
Seção III Dos Bens Fungíveis,1
Vicia,1
Iniciado,1
Deixa,1
CAPÍTULO II DOS BENS RECIPROCAMENTE CONSIDERADOS,1
LEGATÁRIOS,1
DA EMPRESA INDIVIDUAL DE RESPONSABILIDADE LIMITADA,1
Meado,1
Ocupação,1
CAPÍTULO IV DAS OBRIGAÇÕES ALTERNATIVAS,1
CAPÍTULO IV DOS DEFEITOS DO NEGÓCIO,1
Da Formação,1
TÍTULO X DO,1
INVENTÁRIO,1
Da Responsabilidade Civil,1
Códigos,1
DESERDAÇÃO,1
Texto,1
Capital do Estado,1
Designados,1
CAPÍTULO III DOS EFEITOS DA POSSE,1
Arquivados,1
SUBTÍTULO IV,1
Do Erro,1
TÍTULO IV DA,1
Caracterização,1
CAPÍTULO IX DA REMISSÃO DAS DÍVIDAS,1
Da Herança,1
Seção VII Dos Contratos Aleatórios,1
Bens de Filhos,1
LEI No,1
Impossibilitando,1
AUTORIZAÇÃO,1
Autuado,1
CAPÍTULO III DO PAGAMENTO INDEVIDO,1
Decorridos,1
CAPÍTULO VI DA CELEBRAÇÃO DO CASAMENTO,1
CAPÍTULO II DAS OBRIGAÇÕES DE FAZER,1
CAPÍTULO III DA SOCIEDADE EM COMANDITA,1
DOAÇÃO,1
Das Obrigações Solidárias,1
REPRESENTAÇÃO,1
Subseção V Das,1
CAPÍTULO II DOS,1
CAPÍTULO II DA CAPACIDADE PARA O,1
CAPÍTULO XII DA REVOGAÇÃO DO TESTAMENTO,1
TÍTULO X DAS PREFERÊNCIAS E PRIVILÉGIOS,1
DA INCORPORAÇÃO,1
Da Superfície,1
LIVRO IV,1
CAPÍTULO V DA LOCAÇÃO DE COISAS,1
PAGAMENTO,1
PROPRIEDADE,1
Seção V Dos Vícios Redibitórios,1
CAPÍTULO V DA SOCIEDADE ANÔNIMA,1
DAS OBRIGAÇÕES,1
CAPÍTULO I DA SOCIEDADE EM COMUM,1
SUBTÍTULO III,1
FILIAÇÃO,1
PREPOSTOS,1
Celebrar,1
Da Constituição,1
Da Obrigação de Indenizar,1
Dos Bens Móveis,1
Da Sociedade Personificada,1
Deliberada,1
SUPERFÍCIE,1
Da Decadência,1
Da Representação,1
Conjugal,1
Determinado,1
Do Negócio Jurídico,1
Sociedade Dependente de Autorização,1
Erro,1
Várias Espécies de Contrato,1
Participação,1
Seção IV Dos Bens Divisíveis,1
EMPREITADA,1
Integram,1
Essa,1
CAPÍTULO XI DA PROTEÇÃO DA PESSOA,1
Ilhas,1
Seção III Da Sociedade Estrangeira,1
Seção I De Quem Deve Pagar,1
TÍTULO IV DA PRESCRIÇÃO E DA,1
SUBTÍTULO III DOS,1
Do Conselho Fiscal,1
Da Anulação,1
Capítulo IX,1
Da Curatela,1
CAPÍTULO XVII,1
CAPÍTULO VI DAS ARRAS OU SINAL,1
Seção VI Do,1
CAPÍTULO III DO PAGAMENTO DAS DÍVIDAS,1
Do Testamento Particular,1
PRESCRIÇÃO,1
Aberta,1
Independência,1
Calcula,1
TÍTULO II DOS ATOS JURÍDICOS LÍCITOS,1
Reverterá,1
Deliberando,1
TÍTULO ÚNICO DAS DIFERENTES CLASSES DE,1
Dispensam,1
Seção I Preliminares,1
Lei de Introdução,1
Do Título À,1
CAPÍTULO IV DO TÍTULO NOMINATIVO,1
SERVIDÕES,1
DE PARTICIPAÇÃO,1
Da Sociedade em Comandita Simples,1
Ciências Contábeis,1
Vocação Hereditária,1
Da Cessação,1
Da Escusa,1
Da Sociedade Limitada,1
CAPÍTULO I DA PROPRIEDADE EM GERAL,1
Dos Bens Reciprocamente,1
Da Corretagem,1
